Nexus-King Salhadaar,Besiege
Player,2025-09-07 (gct9LfvPhHKajRr2),2025-09-07 (H3CMhbw2fqtnxLD4),2025-09-05 (g3hcCvLMNBdFnrKX),2025-09-05 (Krx7XnTp6D4VtJk9),2025-09-04 (r9QxhyVM1DapG8HX),2025-09-04 (WTMyB8vXkqcNGbmj),2025-09-03 (W1pcz2tMXAZ6KT3N),2025-09-03 (kgar6RCDXTzNtP2d),2025-09-01 (grANYCnMPZ7WqRdB),2025-08-31 (NGbryQpxLKW7XqM9),2025-08-31 (4BLH6FWk73bpqAXr),2025-08-29 (6mJ8MDPxz9WRGfa1),2025-08-28 (HpWdJK3hQqzcfVrR),Total Deaths
Bìg,0,1,0,0,2,0,0,0,0,3,3,0,6,15
Sløwðk,2,3,0,0,1,0,1,1,0,0,0,0,5,13
Barkhun,0,0,0,0,1,0,1,1,0,1,1,0,5,10
Bergdh,0,0,0,0,1,0,0,0,0,4,4,0,1,10
Baltiskbaver,1,1,0,0,1,0,0,0,0,1,1,0,4,9
Añders,0,0,0,0,2,0,1,1,0,0,0,0,3,7
Bavernfan,0,0,0,0,0,0,0,0,0,2,2,0,3,7
Boya,0,0,0,0,1,0,0,0,0,1,1,0,3,6
Cluddvoker,0,0,0,0,1,0,0,0,0,1,1,0,3,6
Jeppebtw,1,1,0,0,2,0,0,0,0,1,1,0,0,6
Fadewl,1,0,0,0,1,0,0,0,0,1,1,0,1,5
Zhanyoker,0,0,0,0,0,0,0,0,0,1,1,0,3,5
Jutos,0,0,0,0,1,0,0,0,0,0,0,0,3,4
Zynzer,0,0,0,0,1,0,0,0,0,1,1,0,1,4
Oskarlul,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Neiiz,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Paddk,0,0,0,0,0,0,1,1,0,0,0,0,0,2
Shpirt,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Zorach,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Petemage,0,0,0,0,0,0,0,0,0,0,0,0,1,1
